University/College,Ratings,Reviews,Source
"Kashi Institute of Technology, Varanasi",3.8,Take admission to get degree by college Our college provide most of facilities to make a better environment of study. By providing air conditioner but it's not in working conditions and provide many computer lab most of them is not working well. Teachers give all knowledge only use in the exam but most of students suffering from carry over paper nobody talk about skill that use in corporate sector only taught to get more marks without any skill. Placement is well in our college to provide minimum package of salary just live of life without any good facilities to make best in our life and most of students get not placed by college placement in job.,Career360
Sri Subash Arts and Science College Pollachi,5.0,"Actually the fees are based on semester fees the fee structure is very lees in class among the other colleges located nearby, they charge 5000 per semester meanwhile other college charges 15000 per semester,for me completing course will take just 20000, if i would have joined in other colleges it might take more than a lakh.",Collegedunia
Delhi Metropolitan Education Noida,5.0,There is a proper system which followed by the each and every teacher and student like there is a proper timetable which has been followed. Proper mentoring session which help students to share there views or any difficulties with them and they solve it. After every 6 months there is external exam in between them there is semester wise internal exam so that student can prepare themselves. Every month there is Parents Teacher meet so that parents should know there behaviour.,Collegedunia
ISME,3.1,"My overall experience with campus life has been enriching and well-balanced, offering both academic growth and vibrant social engagement. The campus environment encourages students to participate actively in cultural, technical, and extracurricular activities, which helps in building confidence, teamwork, and leadership skills. One of the highlights of campus life is the annual and technical festivals. Our annual cultural fest, [buzibuzz], is usually held in [Marvh], and it includes music performances, dance competitions, fashion shows, drama, and literary events. It brings together students from different departments and even other colleges, creating a lively and energetic atmosphere. The technical fest , focuses on innovation and knowledge-sharing through workshops, hackathons, paper presentations, coding contests, robotics events, and guest lectures by industry experts. These festivals not only provide entertainment but also enhance practical learning and networking opportunities.",Collegedunia
"SAM Global University, Bhopal",1.3,Some teachers are good and some are bad in college. Academics are lazy in this college teacher are behaving rudely and some teachers are good in nature and studying good book are not mandatory in the college.  The Placement and training cell are not are good in my college campus. I will recommend personally that you can try in another colleges in good compus I am suggesting more improvement and advancement in best year.,Collegedunia
"RNS Institute of Technology, Bangalore",3.3,Yeah this is the good part of this college the placements are actually very good I have seen the past records for this college and they have genuenly impressed me . The placements highest package have gone to nearly 50 lpa.The teacher are decent not to great not to bad. They will help if there is something different you need to do. Many teachers are chill and not at all strict . A good amount of cultural activites is present .,Collegedunia
"Kashi Institute of Technology, Varanasi",3.6,Take admission to get high package with your hardwork. There is many facilities in our college many building for different different department to easy in study for all department and a liberal with many book provide for all course student and many computer lab. Very bad in education system of our college nobody focus on the study and the external quality of students only give lecture about the related course future knowledge does not give by the teacher to students. Offer received by many company to our college give a high package to our college student and give opportunity to the students to do job with better opportunity and make their life better with package.,Career360
KIIT,3.8,"College faculties are really supportive. If you are eager to learn something the help . 1:50 is the faculty to students ratio . However teachers are friendly with every students . We can directly visit their cabin for doubt during the working hours . Though all faculty members are good , but the one I liked the most is Amulya Ratna swain sir . He is very professional and teaches in a manner that if a student is listening his word his concept will get cleared. He is very enthusiastic and friendly with everyone with zero ego. In my opinion he is the best faculty of our college. There are two exam in a semester one is midsem and other is endsem. Midsem is of 20 marks and endsem of 50 marks . Rest 30 marks is internals that teacher gives based on class performance. Semester exams are not so hard and you can easily score 9 cgpa if you attend class regularly. Course is relevant.",Collegedunia
"Sri Guru Nanak Dev Khalsa College, Delhi",3.6,My experience in this college is quite goood The college infrastructure is nice and would recommend for joining..it has all the necessary amenities and facilities . Classes and washrooms are well maintianed and canteen has a quite good menu woth the price I am studying BAeconomics in first year because i hve keen interest in pursuing anything related to economics as i have research analysis ability...quality of teaching is quite good Teachers are cooperative There had beeen a placement drive last month in my college and good big compaines came and hired students as per their capability and accommodation in the company.. Overall high packages were offered to the students,Career360
"Lakshmi Narain College of Technology and Science, Bhopal",4.0,"Good experience The college infrastructure is decent with spacious classrooms, a well-maintained library, and basic laboratory facilities. The campus environment is comfortable for learning, though some facilities could be improved and better maintained. The academics in the college are good and the teachers are supportive and knowledgeable. The curriculum covers important topics and helps students understand concepts clearly, though some updates could make it more industry-oriented The placement opportunities in the college are decent, with some companies visiting every year. The placement cell supports students with training and guidance, though more companies and better packages would improve opportunities. The college offers a balanced experience. It is suitable for students who focus on academics and are willing to work independently for career growth.",Career360
"Immanuel College, Dimapur",3.8,"Its a moment that i am waiting to review my college The College has best infrastructure such as Audio visual learning facilities, there is a Wi-Fi and good CCTV, there is also a well maintained library and computer laboratories. Clean water, canteen, smart tv and projectors etc . Teachers are friendly and supportive. Whenever we asked help , they render it whole heartedly and they explained the subjects in a very well in-depth . They were well experienced and qualified teachers out there. Seeing from the previous years job placement among the students of this College, we can say that the college is giving full support to the development of students especially for their career. Students were given career guidance, motivational talk, so that they can be ready to face the job recruitment without any hesitations. My Knowledge Bank , i wish to come back here",Career360
Shastriji Residential College of Education for Women Gadag,5.0,Per year 25000 for all 50 management seats in our college. For govt seat through councelling fees 10000. For SC/ST students only pay diet fees only.. not extra paid in college.. all students should pay University fees 1 year was 6791 rupees this is extra amount... (it's include eligibility fees: 1654 Registration fees: 3307 admission fees :1000 etc including) Exam fees comes around 2000... All minority students who got 85% they all are able to got scholarship 25000 and it's comes...,Collegedunia
"Tapasya College of Commerce and Management, Hyderabad",4.1,"No words to Describe the Grandeur we had in this College. The college a spacious Rooms, Wonderful Furniture,Tables, Chairs,Huge Corridors.Centrally located with complete ventilation and Fresh Air. The college has projectors in every room and makes it convenient for explanation. The College has got the best of the Facilities very cooperative and highly knowledgeable. The kind of Assistance I get through staff is just incomparable l. The courses here target the growing demand in the market The placement in our college is added Advantage and opportunity to bag the best offers. Some companies like TCS, Deloitte, Infosys, Wipro, Concentrix,Cognizant to name a few. Our Alumini is well settled and are in contact with us. Iam sure ..I would have missed a great part of my youth...if I did not study here.",Career360
VIT AP,4.3,"Placements are very good almost 200+ companies visited and with very big product based start-ups also viisted and large MNC'S such as infosys, tcs, cognizant, LTM recruited over 1000+ students combinedly. Big product based companies such as zomato, microsoft, amazon, flipkart, swiggy, myntra, google, hp, wells fargo, adobe, oracle , delloite recruit on good numbers. the average packages will be varying from year to year. this year the average package improved and it is nearly 6-7 lpa. Highest package offered was 80+ lpa by a company balkanID follwed by zomato 56lpa. Almost 90% students get placed into full time offers and internships. The only drawback id cgpa will be main criteria for shotlisting so good cgpa i.e 9.00+ will give you a good opputunity to crack product based companies.",Collegedunia
"Jiwaji University, Gwalior",1.0,very bad experience teachers have zero interest in students and their studies they just want their free period and monthly salary they are just rude and zero percent supportive all though seniors are very helpful in our studies.  no companies came in the campus because they did not provide any kind of placements or opportunities to grow in your life they just doing formalities towards students there is improvement needed on a big scale,Collegedunia
DTU,3.9,"course curriculum is standard. they teach ml, programming, maths all the standard required in cse and labs are a little wonky as they dont teach anything in labs. overall it doesnt make you industry ready as such but id say its good.",Collegedunia
VIT Vellore,5.0,"Financial Assistance will be awarded to the eligible students subject to the following conditions. Annual Income of the parent shall not exceed Rs.1,00,000/-. They should not have any standing arrear in Semester Exams. They should not be recipients of any other scholarship. Attendance should be more than 75% in each subject in the fall semester. They should not have involved in any disciplinary action etc.",Collegedunia
MIT Manipal,5.0,I appeared for a exam conducted by this institute after filling a form for it . Then the results came and merit list was displayed online those who cleared were called for further orientation process in college. There on the basis of your rank you will be alloted different branches for example for mechanical electronics and communication and computer science there was a huge demand and it got filled up very soon.,Collegedunia
Motilal Nehru Evening College,3.7,"The faculty to student ratio in the college is around 1:55 appx which is not so bad . The faculty is highly educated and are masters in their own field which gains our confidence in them . First year business law/company law professor Ms. Bhawna rajput and BOM/HRM professor Ms. Somwati are the best in my opinion as they are very patient in the class , teach good and also are flexible with the deadlines which is very helpful to students. There are two times that we have to give exams in one year and both are end sems one in dec-jan and second in may-june. While some students might fail in one or two subject around 90% or more pass their exams successfully. The only drawback with the faculty is that they cancel the classes at last moments sometimes or do not take classes sometimes.",Collegedunia
"Jagannath Institute of Management Sciences, Vasant Kunj, New Delhi",3.0,"Creativity, Exposure & Career Opportunities The infrastructure at JIMS VK2 is well suited for an Interior Design student. the college offers a professionally designed academic atmosphere which supports both theoretical & practical learning.The studios are equipped with drafting tables and the labs have all the latest software. I am pursuing B.Voc Interior Design course at JIMS VK2. The quality of teaching here is up to the mark. The teachers and administration is very cooperative. The curriculum is updated as per the latest requirement of the Design field. The college provides 100% placement in reputed companies such as chalk studio, Livspace, homelane etc with highest salary package upto 9 lac per annum. The college provides equal opportunities for internship to all the students. Creativity, Exposure And Career Opportunities",Career360
Haridwar University,5.0,"Faculty of the college is really good. All the teachers are highly qualified and teach us with utmost understanding. They are highly skilled and help us in every possible way they can. They never say a no to the students.For such an advanced course designed by the department, it is a necessity for the college to have some of the most experienced, talented and intelligent professors so that we have an in depth knowledge of the subject. Our teachers are amazing in their job and teach us really well with their kind and supportive nature.",Collegedunia
"Zakir Husain Delhi College, Delhi",3.2,"Experience was not that bad, not that good either Infra is not at all good, we have fabulous building almost completed since ten years, just because of corruption, corruption is so high that they grab college admission showing new building infrastructure and tell them it will be open in winters, next semester etc and time comes when they graduate, but it was never completely. Academics are fully based on university guidelines of Delhi University, attendance is not mandatory though, however internal marks are fully subject to your attendance, partially subjective of your performance. Placements are just like Delhi University Placements, some companies are fraudulent, some provide no stipend, most placements are related to sales, and it's rare a good company with good position come in this college.",Career360
"Shri Shikshayatan College, Kolkata",3.3,SSY in a nutshell Shri shikshayatn college is one of the prestigious college in Kolkata. It provides with an array for specialisations. I have done my graduation in B.com hns in the year 2015. The faculty as well as the management helps you has the best time during your entire ciriculam I have done my bachelors in accounting and finance from the college. Post which I took great interest in finance and then enrolled myself for PGDM later on in the same field of study. Studying in SSY was life changing The placements were not very promt during the bachelors but they make you market ready so that you can ace jobs post the degree. Not only it opens doors for the jobs but also makes you ready for your further higher studies.,Career360
BGS College of Engineering and Technology Bangalore,4.8,"We have SAMVIT our cultural fest and Arohan our Tech fest along with Advaya our hackathon, collabing with JVTM at ACU every year the library is well stocked and has reference materials with acess to the national international journal portals and research papers every dept has its own set of labs with their own dedicated GPUs with a smart classroom and projectors in every class we have PE period every week, along with trained Shruti maam as the PE director that pushes us to participate in athletics I myself am part of the coding clubs at college and head em after our seniors",Collegedunia
St Michael College of Engineering and Technology Sivaganga,0.5,"As a past pupil from that college I only have bad remarks because we face all the worst experience throughout the date when we joined till the date we passed out from there. I never ever recommend this college to any of my friends, relatives, neighbors etc also not even to my enemies. The college management's attitude was so rude enough to both students and parents.",Collegedunia
PDEU,5.0,"The placements are the best meant to ask it for undergraduate studies. Petroleum is definitely the best poised for placements, as it is the brand name carrying, older branch. But they suffered this time. The placements were below average, but good students fetched good packages as usual. Coming to SOT, Civil and Chemical engineering had good placements, about 50-60% of the eligible students were placed via on-campus placements.",Collegedunia
Lords Institute of Management Surat,4.7,"The faculty-to-student ratio in the institute is generally balanced, which helps students receive proper attention during lectures and practical sessions. Faculties maintain a good relationship with students and are mostly approachable. Students can easily ask questions after class or during doubt-clearing sessions, and many teachers are supportive when it comes to academic guidance and project work. Some of the faculties I liked include Mr. Patel and Ms. Shah because they explain topics clearly and use practical examples to make the subject easy to understand. They also encourage students to participate in discussions and are always ready to solve doubts. In my opinion, these teachers are among the best faculties because of their teaching style, patience, and dedication towards studentsâ learning. However, there are a few faculties whose teaching style is not very engaging. For example, Mr. Akshay sometimes teaches very fast and does not always explain concepts in detail, which can make it difficult for some students to understand the topic fully. In terms of evaluation, the institute usually conducts internal tests, assignments, and final examinations each semester. The exams are moderately difficult. Students who study regularly and attend classes can pass easily, but those who do not prepare well may find them challenging. The course curriculum is relevant and designed to provide both theoretical knowledge and practical skills useful for future careers.",Collegedunia
"Bansal Institute of Research Technology and Science, Bhopal",3.7,"Positive The infrastructure of the college is very good. Every lecture hall has a smart board, which makes studying easier. Labs are very good. Each class has its own Wi-Fi. There is no hostel on the college campus, and the hostel charges are also decent. In Bansal Institute of Research Technology and Science, faculty members are very good and very supportive. They ensure that students get a quality education. English labs are used for improving spoken English for interviews. Faculty members are very helpful. Placements in Bansal Institute of Research Technology & Science have a good placement rate. Around 80Ã¢ÂÂ90 percent of students get placed through campus placements and grab a good package. The highest package is 42 LPA, and the average package is 4Ã¢ÂÂ5 LPA. It's best college in Madhya Pradesh at Bhopal consider top 10 private colleges in Madhya Pradesh.",Career360
MDU,1.8,i have completed my coures form maharshi dayanand university . it is a govt university thera is a fees slave in my coures 5000 for the year coures fees are aprovide by govt. There is no tuition fees . there no caution fees also tere is no registration fees there is admission which are aproved by the govt. over the year govt rase the fees . i dont no about the any scholarships,Collegedunia
IIT BHU,3.6,"I am currently paying 2.4 lakh per year . It includes academic , hostel fee and also some other fee like examination fee , festival and many other small fee. Mess fee usually occurs around 16.5k per semester. Since i am above 5 lakh income slab so i have to pay full fee otherwise there are many fee waiver schemes . For students less than 5 lakh and more than 1 lakh they have to pay only 1/3rd of the fee and peeps less than 1 lakh income they dont have to pay academic fee but have to pay mess and some small fee. SC/St students also have same waiver schemes as of <1lakh doesnt matter the income of their household . There are many scholarship schemes like NSP , IIT BHU foundation and a lot more .",Collegedunia
"Zakir Husain Delhi College, Delhi",4.1,Amazing The college infrastructure is very nice as it contains two big buildings and canteen is very nice and have very tasty food with a very clean sitting as well and the labs are also very high-tech and clean as well As I am from commerce department the studies of this is outstanding and the teachers are friendly and strict as well depends on you how they behave with you and if you want any type of advice you can them Placements are good we cant expect a very good offer from top notch companies rather than you can get a normal job from here which can be a goal changer for your future the placement cell also struggles to offer us best opportunity,Career360
"Rajdhani College, New Delhi",4.3,"I had a good experience throughout my college life The college infrastructure is quite good, it is at a very accessible place, just 200m away from the metro station. Classrooms, labs and other facilities are good and well-maintained. Classrooms and washrooms are clean but canteen area and ground is not as clean as it should be. Academics are excellent, teachers are experienced and possess a very good teaching style. The curriculum is up to date as prescribed by the UGC time to time. I would say yes, the study makes us job-ready, but only when you are ready to give in your efforts. I think placements can be better, companies visit here, but the packages are not so good so it doesn't motivates students to put efforts. That's why I didn't put so much efforts for placement. But over all experience was very good you can get average placements if you do well.",Career360
"Tapasya College of Commerce and Management, Hyderabad",3.3,"Good and I would recommend to join in my college. College infrastructure reviews generally highlight a mix of modern, well-equipped campuses and others needing maintenance, often focusing on classroom quality, lab facilities, and Wi-Fi availability. Key aspects often evaluated include library resources, hostel conditions, canteen food, and sports facilities, with newer or private colleges often offering better amenities than some older, established institutions. Faculty Expertise: The quality of academics is heavily dependent on the faculty's academic credentials (such as Ph.D. holders) and their years of research or industry experience. Key review points often include how approachable professors are and whether they, rather than Teaching Assistants (TAs), actually lead classes. Placement Percentage: The ratio of students placed versus the total number of students eligible for placements. Reliable institutions typically maintain a rate above 90%. Median Salary vs. Average Salary: The average can be inflated by one or two ""crore"" packages. The median salary (the middle value of all offers) is a better indicator of what a typical student actually earns. Good",Career360
Universal College of Engineering and Research Sasewadi,0.5,"I Scored 73% in third year diploma and then i wanted to do engineering in the same branch as i had interest in electronics since i was a child. I didn't choose this college, in fact it was my misfortune that the person at the Gov ARC center filled a wrong college code that was not in my preference and i was admitted to this stupid college.",Collegedunia
Maharaja Agrasen College,0.5,"As I was from a commerce background so I took this subject - B.com. I got many interesting subjects in this course. The teachers are great and the way of teaching is very different and absolutely great. I have appeared 4th for exams, the papers were easy as I had good knowledge about my subjects.",Collegedunia
GEHU Dehradun,0.5,For the students of other couses social life is great they dont have to pay for any trips but for our department students have to pay aside from the expensive fees they only took is to the other campus of the college in bhimtal aside from that no trips there is a 3 day grafest every year no fine arts books are there and only the fine arts department is not provided with amenities like ac or wifi plus they started building the department du3the classes in our first semester by building i mean further subdividing those four walls summer is terrible to sit through those little couped up walls.,Collegedunia
"BVV Sangha's Institute of Management Studies, Bagalkot",3.3,"Collage will focus on building the students feature All labs and classrooms are equipped with the latest technological infrastructure. The campus hosts a wide range of physical copies and books as part of its library. Hostels are provided for all resident courses on single as well as double occupancy basis. Three teachers have all acquired their experiences and Ph.D. from eminent institutions. There are case based discussions to make the course structure relevant for the students. It makes the student aware of the business problems they are going to handle in their upcoming corporate assignments. The placement rate is 80% in our college. Flipkart, Amazon, Uber, Tata, ITC and Unacademy are the top recruiting companies for our course. Management trainee programs, consultant are the top roles offered. Very supportive placement officer we have. No",Career360
"Daulat Ram College, Delhi",3.5,"Average college but has good vibe . The infrastructure of our college is average compared to top North campus colleges the campus is green and well maintained with classroom labs libraries and sports facility how ever many buildings are old spaces limited. Talking about the academics the colleges strong specially in arts and Commerce field faculty members are experience in supportive except you and the curriculum is updated as per DU standards regular test assignments are conducted Placement opportunity here are decent but not talk to her the placement cell vriddhi is active and brings companies like Deloitte,KPMG,etc. Average package are around rupees 4 to 600000 per annum with higher packages going above rupees 20 lakh lpa.",Career360
"Modern Girls College of Professional Studies, Lucknow",1.0,"Quality of Placement is very poor. 5 or 6 percent of students are placed . Highest salary package offered 12 to 15 k. College was not supportive . They invite maximum fraud companies and local companies . I was done my bcom , Teacher is good. They provide proper note . Academic program are challenging and well structured .Professor are good and knowledgeable . Dean behaviour is very cheap . He is not behaving properly after addmission .",Collegedunia
"Sidharth Institute of Engineering and Technology, Koraput",3.5,"Great balance between social life and academic excellence. The SIET Koraput campus offers a tranquil and eco-friendly learning environment. The infrastructure is excellent, featuring modern air-conditioned smart classrooms with wireless LCD projectors and well-equipped departmental computer labs. I especially appreciate the resourceful 24/7 library and the reliable college bus service that connects the campus to Koraput city. Overall, the facilities strongly support our technical education."" ""I am extremely disappointed with the academic standards here. Many of the professors seem disinterested in teaching and are often unavailable for support outside of class. The lectures frequently lack depth, and the grading feels inconsistent and arbitrary. For the high tuition being charged, I expected a much more professional and engaging learning environment. It feels as though students are left to teach themselves most of the material."" The SIET Koraput campus offers a tranquil and eco-friendly learning environment. The infrastructure is excellent, featuring modern air-conditioned smart classrooms with wireless LCD projectors and well-equipped departmental computer labs. I especially appreciate the resourceful 24/7 library and the reliable college bus service that connects the campus to Koraput city. Overall, the facilities strongly support our technical education."" The SIET Koraput campus offers a tranquil and eco-friendly learning environment. The infrastructure is excellent, featuring modern air-conditioned smart classrooms with wireless LCD projectors and well-equipped departmental computer labs. I especially appreciate the resourceful 24/7 library and the reliable college bus service that connects the campus to Koraput city. Overall, the facilities strongly support our technical education.""",Career360
"Kashi Institute of Technology, Varanasi",3.7,To maximize your ability and take better package. Facilities of our college is poor there is many bad things in our college like no any Wi-Fi connection to use internet and provide internet to use but sometimes is good like a library in our college to read book. Education conditions in our is better there is many things provide by teachers to us. But sometimes is not better in our college is no any activities will occur on according to timetable most of things not happened. Campus placement in our college is better there is many company come in our college to give opportunity to student get maximum package of salary to easily offers by company to make a better life enjoy life.,Career360
"Tapasya College of Commerce and Management, Hyderabad",3.5,"Good The college has good infrastructure with well maintained classrooms computer labs and library.College infrastructure is very well when compared to other colleges. And college is maintaining sanitary material in stock. College provides specialized lecturers who can mingle with students it provides the opportunity gor students to develop themselves. The academy environment of the college is good and support students in gaining both theoretical and practical knowledge. This template allows for a detailed assessment of the students soft skills, such as reliability, adapt ability and teamwork. This college maintains good relationship with many reputed companies which provides an opportunity for its students to get placements. As a student I feel like there is no need of anything to be added in this campus as there are all the services provided by the college",Career360
"Kashi Institute of Technology, Varanasi",3.3,Placement in our college is best to make a high package or achieve a luxurious life by work on your skill and knowledge on our specialization to achieve a highest position in the company and complete your goals.Teachers are good in our college to give education on particular subject and related unit for the courses make the subject easy and interesting for the students make them comfortable on their subject.,Collegedunia
"JSS Academy of Technical Education, Noida",3.7,"Overall best college for placement also It has all facilities like libraries, sports, classrooms are very nice it has projector, well maintained classes It has wifi facilities and medical room for emergency It has hostel for boys and girls It has auditorium etc I am studying here MBA after my BBA. In MBA there has many streams like finance, Human Resources, marketing, IT. Faculties are very supportive here Curriculum activities also there like badminton, story telling And here also study make me job ready It has good placement getting many companies like clearwater, Certybox , Wipro etc. Percentage should be 8 CGPA Highest package depends on courses For MBA package is around 7 LPA For Btech etc package has 12+ LPA Good for technical courses",Career360
Shoolini University Solan,0.5,Their faculty does not have any idea of teaching and guiding the research students. Their teacher behavior is so pathetic and their education standard are ok but they dont have the idea to implement the curriculum so overall no satisfaction from their teachers school teachers are far better than shoolini university staff.,Collegedunia
"AAFT University of Media and Arts, Raipur",3.5,"Best college for arts and media The college is well equipped with machinery and product. Also it is well facilited with library , lab ,studio etc which directly enhance student learning , comfort , and engagement in studies . It also provide 24/7 wifi facility. The faculties are well informed and provide well defined course knowledge with realistic examples. Many work shops and site visites are provided which helps students to know about current market value and trends. the college has a special department called CRC for student requirement for job and internship . The cell prepare the students both mental and physical by providing personal consultation to each student. Over all the college is nice providing knowlage with fun. The college focus on creativity, skill development, innovation, and artistic exploration. They provide work shops , site vists etc. The college also known for its event and clubs which help student to increase his or her social circles.",Career360
IIT Bombay,5.0,IITB is famous for their faculties. you got the famous professors who works with Govt of India and DRDO. The exams are easy if you attend classes but if you not then get ready for last night brain charge. you got open book exams but you still can't beat the professors. We got 2 semster exam every year and 2 mid-sem every year. Almost every one clears it. Sometime few student get 1-2 subject back.,Collegedunia
Indian IHM,3.9,The couse i have applied is bachelor of culinary science In this curriculum the college offered me various cooking methods and cooking insights during the 1st year of the college During 2nd year we wear taught how to open a buisness and turn it into a profitable assets most of the 2nd year curriculum was about that In 3rd year we were have a 6 months internship in various hotels all over the country some were allotted abroad,Collegedunia
DDU,4.4,"DDUGU did not held any technical fests but A 9-day book fair held every year in early November at the university campus.Computers with internet access for research and study.Online databases and digital learning resources.Workshops (like. on research tools, online platforms like Manupatra).Indoor games (Table Tennis, Judo, Taekwondo, Yoga).Outdoor fields for Football, Cricket, Volleyball. I don't know more about social groups r student portals. But i enjoyed very much my campus life",Collegedunia
"Aligarh Muslim University Centre, Murshidabad",3.2,Good for academics but campus life is tough the campus infrastructure is average since a lot of it is still under construction and it needs better maintainence . the facilities are yet to be properly developed for better functioning. the college is in a village area Mba department of AMUCM has good professors and teaching facilities such as libraries and auditorium. the professors divide students in group such that a student can be under the mentorship of a particular professor that would look after us as our gaurdians. AMUCM has average placement turn out as compared to the main campus. the companies coming here provide us with average packages . many students switch jobs for this very reason though skills are acquired well,Career360
RNSIT,4.1,Infrastructure is really good. The college campus is big and filled with greenery. We have well equipped classrooms and Laboratories. The library is big and has all the books needed throughout the course. The college has various technical and non -technical clubs that encourage students to take part in various activities. There are multiple cultural and technical fests conduccted as well that improve student interaction and the whole experience in college.,Collegedunia
"Lendi Institute of Engineering and Technology, Vizianagaram",3.9,I have better experience in my 1'1 semester My collage is pretty good in this it has many facilities available. It has been developing since so many years and it has good placement from the management in the collage we have aa good wifi router with advanced cc camera in the hostels I will give the outstanding academics in the faculty and students there are so many professers to guide the students. I like the career path in our collage because tha teachers and faculty and respective hod's are damm friendly with the students We have better placement in our collage every student who passed out in the final year or 3 year he will come out with blood clg lpa I will expect my package when I have good knowledge In mechanical engineering Nothing but I like the collage,Career360
"Jayaprakash Narayan Engineering College, Bandlaguda",3.8,"I love college labs especially My college is very good and having good facilities available. We are having college library open every time,we are having computer labs, class rooms and design lab ,small parking place, wonderful workshop My college is having well experienced and supportive professors,we have semister wise examinations and we get extra classes before examinations and faculty divides students and take care of each student Jayaprakash Narayan college of engineering hyderabad is affiliated with jntuh University and also connected to nxt wave company and many other companies We are having good placement support at the end of engineering I love college libarary and computer labs",Career360
"Asian Academy of Film and Television, Noida",3.3,"Ã¢ÂÂGood learning environment and supportive faculty.Ã¢ÂÂ My overall experience at this college has been positive. The campus has good infrastructure with well-equipped classrooms, computer labs, and a library with sufficient study resources. Wi-Fi is available in most areas and is generally reliable. The faculty members are supportive and explain concepts clearly, which helps in both theory and practical learning. The campus environment is safe and clean, and basic facilities like canteen, sports areas, and common rooms are properly maintained. However, there is still room for improvement in placement opportunities and industry exposure. Overall, it is a good college for students who are willing to work hard and make use of the available resources. I am currently studying in this college because it offers a structured curriculum and knowledgeable faculty in my field. The teachers explain topics clearly and are approachable when students need help. The syllabus covers the core fundamentals well, and practical sessions help in understanding concepts better. However, the curriculum could be updated more frequently to match current industry trends and technologies. Overall, the academic environment is supportive and helps students build a strong foundation for their future careers. The placement opportunities at this college are average. Some companies visit the campus every year, but the number of core and high-paying roles is limited. The placement cell provides basic support such as resume guidance and interview preparation, which helps students feel more confident during the process. However, students often need to rely on off-campus opportunities and personal skill development to secure better jobs. With stronger industry connections and more frequent company visits, the placement scenario could improve significantly. Overall, my experience at this college has been quite positive. The institution provides a supportive academic environment with helpful faculty, decent infrastructure, and essential facilities such as well-equipped classrooms, laboratories, and a library. The campus is safe and offers opportunities for students to participate in cultural events, technical activities, and sports, which helps in overall personality development.",Career360
"Zakir Husain Delhi College, Delhi",3.2,"Placements are not so good , as it is a Delhi University college so the placement can't be very good but they can give you a average job like 3 to 4 lakh job and the placement cell also do their job in a manner to provide students internships and jobs. Academics are the best of this college as heard from other delhi university college students, about their college students the zakir hussain is very much better than them and the professors are very nice and qualified",Collegedunia
"Medi-Caps University, Indore",4.0,Infrastructure is good but placements are acceptable College infrastructure is amazing because they used to provide us good facility in classes and also hygiene is the best part of the college they used to maintain hygiene in canteen and classes too auditorium is also amazing in the college and there is enough space for big functions in the college In term of academic medicaps is very good because teachers are very qualified they used to solve everything doubt of children and also they are so experienced and also there are many faculties available for different courses and studies Placements are good but the minimum packages average that's why I give four stars in terms of placements from my college almost 50% + students got selected every year and also maximum package was not that much that's why placements are not that much good but still they are acceptable and decent,Career360
"Sanjeev Agrawal Global Educational University, Bhopal",3.7,"Felt good College has a good infrastructure, with a dedicated building for each department and a fully Wi-Fi-connected campus. It also provides 4 hostels on campus, 2 for girls and 2 for boys, providing 4 meals a day. There are two canteens available. The campus also has a gym in the sports complex, a badminton court, and 2 football grounds. Faculty members at our college are highly skilled and experienced in their respective fields. Many of them hold PhDs and are the most qualified at their level. Curriculum has a great exposure for students, which excites them to study. The placement at SAGE University is quite satisfying. It provides an average package of 5 LPA. The top packages are going up to around 10 LPA in reputable companies like Deloitte, Coca-Cola, and CRISIL. Apart from this, Sage University also has good records in terms of internships. It's a very good college. Studying at SAGE University Bhopal can be a good experience for students who are willing to learn and stay involved in different activities.",Career360
"Thakur College of Science and Commerce, Mumbai",4.0,"Capus life is awesome with afforadable fees college has good Infrastructure and facilites it feel little overcrowded. college has all the facliites like sport ground , computer labs auditorium and Libraries. lots of fest and extracurricular actitvty happens throughout the year canteen are good and clean living spaces are hygienicas well. as it is autonoumous college college curriculum is good and industry oriented . I Studied B.com because I find it Interesting and easy to understand yes. study di make oyu job ready as you will internship as well during your College If student are willing to sit for the placement in Bcom 50 - 60% student get placed packeage is around 3 LPA and highest goes close to 4.5 LPA Placement process is smooth and college do support during placements",Career360
SRM University Chennai,3.2,"i am currently a second-year B.Tech CSE student at SRM Kattankulathur. The yearlly tuition fee for my batch is approximately 4,50,000 under the regular SRNJEEE merit category. In the first year, I paid tuition along with a one time admission and registration fee of around 10,000-15,000 and a refundable caution deposit of about 5,000.",Collegedunia
"Dhanalakshmi College of Engineering, Chennai",4.2,The college life was good and totally friendly. The college Infrastructure was Good and greenery environment. The lab was very good Infrastructure and aerated classroom with good quality seminar halls and ac auditorium was there inside the college . The academic was actually good . Which enable us to learn each and every details about our course . The course was really good and always make us to face with the real time situation So the course make us to responsible to take decision in the society. The placement was good and many companies are coming This is basically based on your skill development and your skills The companies are coming but you put you're effort to get in the companies. Both software and hardware Roles are comming,Career360
